book_id_title,book_id,cover_image_uri,book_title,book_series,book_settings,book_characters,book_language,year_first_published,authorlink,author,num_pages,format,genres,people_curr_read,peop_want_to_read,num_ratings,num_reviews,average_rating,rating_distribution,awards
1.Harry_Potter_and_the_Half_Blood_Prince,1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,Harry Potter and the Half-Blood Prince,['Harry Potter'],"['Hogwarts School of Witchcraft and Wizardry', 'England']","['Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Lord Voldemort', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Ginny Weasley', 'Arthur Weasley', 'Molly Weasley', 'Cornelius Fudge', 'Peter Pettigrew', 'Fleur Delacour', 'Bellatrix Lestrange', 'Bill Weasley', 'Luna Lovegood', 'Nymphadora Tonks', 'Kreacher', 'Narcissa Malfoy', 'Horace Slughorn', 'Draco Malfoy', 'Albus Dumbledore', 'Harry Potter', 'Hermione Granger', 'Madam Malkin', 'Romilda Vane']",English,2005,https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,652,Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Adventure']",49.7k,567k,3484534,64286,4.58,"{'5 Stars': 2377725, '4 Stars': 819042, '3 Stars': 231508, '2 Stars': 37630, '1 Star': 18629}","['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'The Quill Award for Book of the Year (2005)', 'British Book of the Year (2006)']"
10.Harry_Potter_Collection,10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg,Harry Potter Collection,,,,English,2005,https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,3342,Hardcover,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adventure', 'Classics', 'Childrens']",243,"7,253",34151,989,4.72,"{'5 Stars': 27420, '4 Stars': 4883, '3 Stars': 1233, '2 Stars': 256, '1 Star': 359}",[]
10009.Homo_Faber,10009,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709271225i/10009.jpg,Homo Faber,,"['New York City, New York', 'Houston, Texas', 'Corinth', 'Athens', 'Guatemala', 'Campeche', 'Palenque', 'Tamaulipas', 'Havana', 'Dusseldorf', 'Zurich']","['Walter Faber', 'Sabeth', 'Hanna Piper', 'Joachim Hencke', 'Herbert Hencke']",English,1957,https://www.goodreads.com/author/show/6530.Max_Frisch,Max Frisch,214,Paperback,"['Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', '20th Century']",671,14.8k,29236,1115,3.69,"{'5 Stars': 7514, '4 Stars': 10323, '3 Stars': 7315, '2 Stars': 2846, '1 Star': 1238}",[]
1001896.The_Real_Mother_Goose,1001896,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439507704i/1001896.jpg,The Real Mother Goose,,,,English,1916,https://www.goodreads.com/author/show/48966.Blanche_Fisher_Wright,Blanche Fisher Wright,128,Hardcover,"['Childrens', 'Poetry', 'Picture Books', 'Classics', 'Fiction', 'Nursery Rhymes', 'Fantasy']",345,"4,300",36262,385,4.33,"{'5 Stars': 20466, '4 Stars': 9011, '3 Stars': 5345, '2 Stars': 996, '1 Star': 444}",[]
100247.Vagabonding,100247,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320532720i/100247.jpg,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,,,,English,2002,https://www.goodreads.com/author/show/57862.Rolf_Potts,Rolf Potts,205,Paperback,"['Travel', 'Nonfiction', 'Philosophy', 'Self Help', 'Adventure', 'Audiobook', 'Personal Development']","1,900",72.4k,27224,1605,3.95,"{'5 Stars': 9410, '4 Stars': 9615, '3 Stars': 6119, '2 Stars': 1591, '1 Star': 489}",[]
10032057-the-battle-of-chibi,10032057,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355846070i/10032057.jpg,The Battle of Chibi,,,,English,2010,https://www.goodreads.com/author/show/4537067.Hock_G_Tjoa,Hock G. Tjoa,332,Paperback,"['China', 'Classics', 'Adventure']",6,435,45,31,4.09,"{'5 Stars': 11, '4 Stars': 27, '3 Stars': 7, '2 Stars': 0, '1 Star': 0}",[]
100915.The_Lion_the_Witch_and_the_Wardrobe,100915,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg,"The Lion, the Witch and the Wardrobe","['The Chronicles of Narnia (Publication Order)', 'The Chronicles of Narnia (Chronological Order)']",,"['Aslan', 'Lucy Pevensie', 'Edmund Pevensie', 'Mr. Tumnus', 'Peter Pevensie', 'Susan Pevensie', 'Jadis', 'Mr. & Mrs. Beaver']",English,1950,https://www.goodreads.com/author/show/1069006.C_S_Lewis,C.S. Lewis,206,Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Adventure']",19k,695k,2977780,37263,4.24,"{'5 Stars': 1464273, '4 Stars': 929987, '3 Stars': 451420, '2 Stars': 94932, '1 Star': 37168}","['Lewis Carroll Shelf Award (1962)', ""Keith Barker Millennium Book Award for Children's Book of the Century (1)"", 'Retro Hugo Award Nominee for Best Novel (2001)']"
10097.Queen_of_Scots,10097,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439169103i/10097.jpg,Queen of Scots: The True Life of Mary Stuart,,,"['James V, King of Scots', 'Mary, Queen of Scots', 'Elizabeth I of England']",English,2004,https://www.goodreads.com/author/show/6592.John_Guy,John Guy,560,Hardcover,"['History', 'Nonfiction', 'Biography', 'Scotland', 'Historical', 'British Literature', 'Tudor Period']","4,746","9,276",5117,491,3.94,"{'5 Stars': 1538, '4 Stars': 2097, '3 Stars': 1193, '2 Stars': 217, '1 Star': 72}","['Whitbread Award for Biography (2004)', 'National Book Critics Circle Award Nominee for Biography (2004)', 'Marsh Biography Award (2005)']"
101094.The_Famished_Road,101094,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344396715i/101094.jpg,The Famished Road,['The Famished Road Trilogy'],['Nigeria'],,English,1991,https://www.goodreads.com/author/show/31425.Ben_Okri,Ben Okri,512,Paperback,"['Fiction', 'Africa', 'Magical Realism', 'Fantasy', 'Nigeria', 'African Literature', 'Literary Fiction']","1,386",27.2k,13253,1090,3.73,"{'5 Stars': 4017, '4 Stars': 4229, '3 Stars': 3120, '2 Stars': 1242, '1 Star': 645}","['Booker Prize (1991)', 'Premio Grinzane Cavour Nominee for Narrativa Straniera (1994)']"
101267.Mistress_Pat,101267,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388264347i/101267.jpg,Mistress Pat,['Pat of Silver Bush'],['Canada'],"['Patricia Gardiner', 'Judy Plum']",English,1935,https://www.goodreads.com/author/show/5350.L_M_Montgomery,L.M. Montgomery,288,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Historical', 'Childrens']",51,"3,781",4594,267,3.89,"{'5 Stars': 1412, '4 Stars': 1630, '3 Stars': 1205, '2 Stars': 307, '1 Star': 40}",[]
