,book_id_title,book_id,cover_image_uri,book_title,book_series,book_settings,book_characters,book_language,year_first_published,authorlink,author,num_pages,format,genres,people_curr_read,peop_want_to_read,num_ratings,num_reviews,average_rating,rating_distribution,awards,awards_count,awards_bins
1,10.Harry_Potter_Collection,10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg,Harry Potter Collection,,,,English,2005,https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,3342.0,Hardcover,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adventure', 'Classics', 'Childrens']",243.0,7253.0,34151,989,4.72,"{'5 Stars': 27420, '4 Stars': 4883, '3 Stars': 1233, '2 Stars': 256, '1 Star': 359}",[],2,"(1.307, 140.6]"
2,10009.Homo_Faber,10009,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709271225i/10009.jpg,Homo Faber,,"['New York City, New York', 'Houston, Texas', 'Corinth', 'Athens', 'Guatemala', 'Campeche', 'Palenque', 'Tamaulipas', 'Havana', 'Dusseldorf', 'Zurich']","['Walter Faber', 'Sabeth', 'Hanna Piper', 'Joachim Hencke', 'Herbert Hencke']",English,1957,https://www.goodreads.com/author/show/6530.Max_Frisch,Max Frisch,214.0,Paperback,"['Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', '20th Century']",671.0,14800.0,29236,1115,3.69,"{'5 Stars': 7514, '4 Stars': 10323, '3 Stars': 7315, '2 Stars': 2846, '1 Star': 1238}",[],2,"(1.307, 140.6]"
3,1001896.The_Real_Mother_Goose,1001896,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439507704i/1001896.jpg,The Real Mother Goose,,,,English,1916,https://www.goodreads.com/author/show/48966.Blanche_Fisher_Wright,Blanche Fisher Wright,128.0,Hardcover,"['Childrens', 'Poetry', 'Picture Books', 'Classics', 'Fiction', 'Nursery Rhymes', 'Fantasy']",345.0,4300.0,36262,385,4.33,"{'5 Stars': 20466, '4 Stars': 9011, '3 Stars': 5345, '2 Stars': 996, '1 Star': 444}",[],2,"(1.307, 140.6]"
4,100247.Vagabonding,100247,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320532720i/100247.jpg,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,,,,English,2002,https://www.goodreads.com/author/show/57862.Rolf_Potts,Rolf Potts,205.0,Paperback,"['Travel', 'Nonfiction', 'Philosophy', 'Self Help', 'Adventure', 'Audiobook', 'Personal Development']",1900.0,72400.0,27224,1605,3.95,"{'5 Stars': 9410, '4 Stars': 9615, '3 Stars': 6119, '2 Stars': 1591, '1 Star': 489}",[],2,"(1.307, 140.6]"
7,10097.Queen_of_Scots,10097,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439169103i/10097.jpg,Queen of Scots: The True Life of Mary Stuart,,,"['James V, King of Scots', 'Mary, Queen of Scots', 'Elizabeth I of England']",English,2004,https://www.goodreads.com/author/show/6592.John_Guy,John Guy,560.0,Hardcover,"['History', 'Nonfiction', 'Biography', 'Scotland', 'Historical', 'British Literature', 'Tudor Period']",4746.0,9276.0,5117,491,3.94,"{'5 Stars': 1538, '4 Stars': 2097, '3 Stars': 1193, '2 Stars': 217, '1 Star': 72}","['Whitbread Award for Biography (2004)', 'National Book Critics Circle Award Nominee for Biography (2004)', 'Marsh Biography Award (2005)']",139,"(1.307, 140.6]"
8,101094.The_Famished_Road,101094,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344396715i/101094.jpg,The Famished Road,['The Famished Road Trilogy'],['Nigeria'],,English,1991,https://www.goodreads.com/author/show/31425.Ben_Okri,Ben Okri,512.0,Paperback,"['Fiction', 'Africa', 'Magical Realism', 'Fantasy', 'Nigeria', 'African Literature', 'Literary Fiction']",1386.0,27200.0,13253,1090,3.73,"{'5 Stars': 4017, '4 Stars': 4229, '3 Stars': 3120, '2 Stars': 1242, '1 Star': 645}","['Booker Prize (1991)', 'Premio Grinzane Cavour Nominee for Narrativa Straniera (1994)']",88,"(1.307, 140.6]"
9,101267.Mistress_Pat,101267,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388264347i/101267.jpg,Mistress Pat,['Pat of Silver Bush'],['Canada'],"['Patricia Gardiner', 'Judy Plum']",English,1935,https://www.goodreads.com/author/show/5350.L_M_Montgomery,L.M. Montgomery,288.0,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Historical', 'Childrens']",51.0,3781.0,4594,267,3.89,"{'5 Stars': 1412, '4 Stars': 1630, '3 Stars': 1205, '2 Stars': 307, '1 Star': 40}",[],2,"(1.307, 140.6]"
10,10129880-the-colour-out-of-space,10129880,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294272134i/10129880.jpg,The Colour Out of Space,,,,English,1927,https://www.goodreads.com/author/show/9494.H_P_Lovecraft,H.P. Lovecraft,78.0,Mass Market Paperback,"['Horror', 'Short Stories', 'Fiction', 'Science Fiction', 'Fantasy', 'Lovecraftian', 'Audiobook']",230.0,4778.0,9981,1007,4.03,"{'5 Stars': 3317, '4 Stars': 4190, '3 Stars': 2033, '2 Stars': 367, '1 Star': 74}",[],2,"(1.307, 140.6]"
11,10155.The_Lost_World,10155,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320504012i/10155.jpg,The Lost World,['Professor Challenger'],"['London, England', 'South America']","['Professor Challenger', 'Ed Malone', 'Lord John Roxton', 'Professor Summerlee', 'Zambo', 'Professor George Challenger']",English,1912,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,Arthur Conan Doyle,272.0,Paperback,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'Audiobook', 'Dinosaurs']",5719.0,43900.0,70041,3357,3.93,"{'5 Stars': 21536, '4 Stars': 26639, '3 Stars': 17828, '2 Stars': 3326, '1 Star': 712}",[],2,"(1.307, 140.6]"
12,101821.Gracias_y_desgracias_del_ojo_del_culo,101821,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1499095034i/101821.jpg,Gracias y desgracias del ojo del culo,,,,Spanish; Castilian,2004,https://www.goodreads.com/author/show/34604.Francisco_de_Quevedo,Francisco de Quevedo,,,"['Humor', 'Classics', 'Spanish Literature', 'Poetry', 'Novels', 'Fiction', 'Siglo De Oro']",29.0,267.0,479,69,3.75,"{'5 Stars': 128, '4 Stars': 166, '3 Stars': 128, '2 Stars': 50, '1 Star': 7}",[],2,"(1.307, 140.6]"
